          Index           Name           S[m]       Beta1[m]         Alfa1x       Beta2[m]          Alfa2            c11            c12            c21            c22          Dx[m]            Dxp          Dy[m]            Dyp      Q1 [2*PI]      Q2 [2*PI]
             46          DTEMP          4.606        9.10442      -0.894477        9.31983      -0.943632      -0.152036       -1.75014       0.039309      -0.507917     -0.0180797    -0.00240635      0.0348105     0.00371209       0.118723       0.118898
             47          DTEMP          4.704        9.28163      -0.913853        9.50673      -0.963511      -0.148184       -1.78539       0.039309       -0.51177     -0.0183155    -0.00240635      0.0351743     0.00371209       0.120419       0.120555
             48          DTEMP          4.802        9.46265      -0.933229        9.69752      -0.983389      -0.144331        -1.8214       0.039309      -0.515622     -0.0185513    -0.00240635      0.0355381     0.00371209       0.122084       0.122179
             49          DTEMP            4.9        9.64746      -0.952606        9.89222       -1.00327      -0.140479       -1.85816       0.039309      -0.519474     -0.0187871    -0.00240635      0.0359019     0.00371209       0.123716       0.123772
             50          DTEMP          4.998        9.83607      -0.971982        10.0908       -1.02315      -0.136627       -1.89568       0.039309      -0.523326      -0.019023    -0.00240635      0.0362657     0.00371209       0.125317       0.125333
             51          DTEMP          5.096        10.0285      -0.991358        10.2933       -1.04302      -0.132774       -1.93396       0.039309      -0.527179     -0.0192588    -0.00240635      0.0366295     0.00371209       0.126888       0.126864
             52          DTEMP          5.194        10.2247       -1.01073        10.4997        -1.0629      -0.128922       -1.97299       0.039309      -0.531031     -0.0194946    -0.00240635      0.0369932     0.00371209       0.128428       0.128364
             53          DTEMP          5.292        10.4247       -1.03011        10.7099       -1.08278       -0.12507       -2.01277       0.039309      -0.534883     -0.0197304    -0.00240635       0.037357     0.00371209       0.129939       0.129835
             54          DTEMP           5.39        10.6285       -1.04949        10.9241       -1.10266      -0.121218       -2.05331       0.039309      -0.538736     -0.0199663    -0.00240635      0.0377208     0.00371209       0.131421       0.131277
             55          DTEMP          5.488        10.8361       -1.06886        11.1422       -1.12254      -0.117365        -2.0946       0.039309      -0.542588     -0.0202021    -0.00240635      0.0380846     0.00371209       0.132874        0.13269
             56          DTEMP          5.586        11.0475       -1.08824        11.3642       -1.14242      -0.113513       -2.13665       0.039309       -0.54644     -0.0204379    -0.00240635      0.0384484     0.00371209         0.1343       0.134077
