          Index           Name          S[cm]     Beta1x[cm]         Alfa1x     Beta1y[cm]         Alfa1y    Nu1 [2*PI]      Beta2x[cm]         Alfa2x     Beta2y[cm]         Alfa2y     Nu2 [2*PI]              U        Dx [cm]            Dxp         Dy[cm]            Dyp      Q1 [2*PI]      Q2 [2*PI]        m56[m] 
             50          DTEMP          499.8        932.654       -0.92232        53.0948     -0.0533731      0.0828453        52.0412     -0.0517292         956.12      -0.968491       0.417374      0.0525473       -1.80414    -0.00236788        1.81053     0.00185319       0.125313       0.125247              0
             51          DTEMP          509.6        950.912      -0.940691         54.151     -0.0544086       0.082886        53.0651     -0.0527531        975.287      -0.987306       0.417344      0.0525473       -1.82735    -0.00236788        1.82869     0.00185319       0.126882       0.126778              0
             52          DTEMP          519.4        969.529      -0.959062        55.2276      -0.055444      0.0829263        54.1091      -0.053777        994.822       -1.00612       0.417315      0.0525473       -1.85055    -0.00236788        1.84685     0.00185319       0.128421       0.128278              0
             53          DTEMP          529.2        988.507      -0.977433        56.3244     -0.0564795      0.0829663        55.1732     -0.0548008        1014.73       -1.02494       0.417286      0.0525473       -1.87376    -0.00236788        1.86501     0.00185319       0.129931       0.129749              0
             54          DTEMP            539        1007.84      -0.995804        57.4416     -0.0575149      0.0830059        56.2573     -0.0558247           1035       -1.04375       0.417257      0.0525473       -1.89696    -0.00236788        1.88317     0.00185319       0.131411       0.131191              0
             55          DTEMP          548.8        1027.54       -1.01417         58.579     -0.0585504      0.0830452        57.3615     -0.0568486        1055.64       -1.06257       0.417228      0.0525473       -1.92017    -0.00236788        1.90133     0.00185319       0.132863       0.132604              0
             56          DTEMP          558.6         1047.6       -1.03255        59.7368     -0.0595858       0.083084        58.4858     -0.0578725        1076.65       -1.08138       0.417199      0.0525473       -1.94337    -0.00236788        1.91949     0.00185319       0.134288       0.133991              0
             57          DTEMP          568.4        1068.02       -1.05092        60.9148     -0.0606213      0.0831224        59.6301     -0.0588964        1098.03        -1.1002        0.41717      0.0525473       -1.96658    -0.00236788        1.93766     0.00185319       0.135685        0.13535              0
             58          DTEMP          578.2         1088.8       -1.06929        62.1131     -0.0616567      0.0831603        60.7945     -0.0599202        1119.78       -1.11901       0.417142      0.0525473       -1.98978    -0.00236788        1.95582     0.00185319       0.137055       0.136682              0
             59          DTEMP            588        1109.93       -1.08766        63.3317     -0.0626922      0.0831978         61.979     -0.0609441         1141.9       -1.13783       0.417113      0.0525473       -2.01299    -0.00236788        1.97398     0.00185319       0.138399       0.137989              0
             60          DTEMP          597.8        1131.43       -1.10603        64.5707     -0.0637276      0.0832349        63.1835      -0.061968        1164.38       -1.15664       0.417085      0.0525473       -2.03619    -0.00236788        1.99214     0.00185319       0.139718       0.139271              0
             61          DTEMP          607.6        1153.29        -1.1244        65.8299     -0.0647631      0.0832715        64.4081     -0.0629919        1187.24       -1.17546       0.417057      0.0525473        -2.0594    -0.00236788         2.0103     0.00185319       0.141012       0.140528              0
             62          DTEMP          617.4        1175.51       -1.14277        67.1094     -0.0657986      0.0833075        65.6528     -0.0640158        1210.46       -1.19427        0.41703      0.0525473        -2.0826    -0.00236788        2.02846     0.00185319       0.142281        0.14176              0
             63          DTEMP          627.2        1198.09       -1.16114        68.4092      -0.066834      0.0833431        66.9176     -0.0650396        1234.05       -1.21308       0.417002      0.0525473       -2.10581    -0.00236788        2.04662     0.00185319       0.143526        0.14297              0
             64          DTEMP            637        1221.03       -1.17951        69.7293     -0.0678695      0.0833783        68.2024     -0.0660635        1258.01        -1.2319       0.416975      0.0525473       -2.12901    -0.00236788        2.06478     0.00185319       0.144748       0.144156              0
             65          DTEMP          646.8        1244.32       -1.19788        71.0696     -0.0689049      0.0834129        69.5072     -0.0670874        1282.34       -1.25071       0.416948      0.0525473       -2.15222    -0.00236788        2.08295     0.00185319       0.145947       0.145319              0
             66          DTEMP          656.6        1267.98       -1.21625        72.4303     -0.0699404       0.083447        70.8322     -0.0681113        1307.04       -1.26953       0.416921      0.0525473       -2.17543    -0.00236788        2.10111     0.00185319       0.147123       0.146461              0
             67          DTEMP          666.4           1292       -1.23463        73.8113     -0.0709758      0.0834807        72.1772     -0.0691351        1332.11       -1.28834       0.416895      0.0525473       -2.19863    -0.00236788        2.11927     0.00185319       0.148278        0.14758              0
             68          DTEMP          676.2        1316.38         -1.253        75.2126     -0.0720113      0.0835138        73.5423      -0.070159        1357.54       -1.30716       0.416869      0.0525473       -2.22184    -0.00236788        2.13743     0.00185319       0.149411       0.148679              0
             69          DTEMP            686        1341.12       -1.27137        76.6341     -0.0730467      0.0835464        74.9274     -0.0711829        1383.35       -1.32597       0.416843      0.0525473       -2.24504    -0.00236788        2.15559     0.00185319       0.150523       0.149758              0
             70          DTEMP          695.8        1366.22       -1.28974         78.076     -0.0740822      0.0835786        76.3327     -0.0722068        1409.52       -1.34479       0.416818      0.0525473       -2.26825    -0.00236788        2.17375     0.00185319       0.151615       0.150816              0
             71          DTEMP          705.6        1391.68       -1.30811        79.5382     -0.0751176      0.0836103        77.7579     -0.0732307        1436.07        -1.3636       0.416793      0.0525473       -2.29145    -0.00236788        2.19191     0.00185319       0.152687       0.151855              0
             72          DTEMP          715.4         1417.5       -1.32648        81.0206     -0.0761531      0.0836414        79.2033     -0.0742545        1462.98       -1.38242       0.416768      0.0525473       -2.31466    -0.00236788        2.21008     0.00185319       0.153739       0.152874              0
             73          DTEMP          725.2        1443.67       -1.34485        82.5234     -0.0771885      0.0836721        80.6687     -0.0752784        1490.26       -1.40123       0.416743      0.0525473       -2.33786    -0.00236788        2.22824     0.00185319       0.154772       0.153875              0
             74          DTEMP            735        1470.21       -1.36322        84.0464      -0.078224      0.0837023        82.1542     -0.0763023         1517.9       -1.42005       0.416719      0.0525473       -2.36107    -0.00236788         2.2464     0.00185319       0.155786       0.154858              0
             75          DTEMP          744.8        1497.11       -1.38159        85.5898     -0.0792594      0.0837321        83.6598     -0.0773262        1545.92       -1.43886       0.416695      0.0525473       -2.38427    -0.00236788        2.26456     0.00185319       0.156782       0.155822              0
             76          DTEMP          754.6        1524.37       -1.39996        87.1534     -0.0802949      0.0837613        85.1854     -0.0783501        1574.31       -1.45768       0.416672      0.0525473       -2.40748    -0.00236788        2.28272     0.00185319       0.157761        0.15677              0
             77          DTEMP          764.4        1551.99       -1.41834        88.7373     -0.0813303      0.0837901        86.7311     -0.0793739        1603.06       -1.47649       0.416648      0.0525473       -2.43068    -0.00236788        2.30088     0.00185319       0.158721         0.1577              0
             78          DTEMP          774.2        1579.97       -1.43671        90.3415     -0.0823658      0.0838184        88.2969     -0.0803978        1632.19       -1.49531       0.416625      0.0525473       -2.45389    -0.00236788        2.31904     0.00185319       0.159665       0.158613              0
             79          DTEMP            784        1608.31       -1.45508        91.9661     -0.0834012      0.0838463        89.8827     -0.0814217        1661.68       -1.51412       0.416603      0.0525473       -2.47709    -0.00236788         2.3372     0.00185319       0.160592       0.159511              0
             80          DTEMP          793.8        1637.01       -1.47345        93.6109     -0.0844367      0.0838737        91.4886     -0.0824456        1691.54       -1.53294        0.41658      0.0525473        -2.5003    -0.00236788        2.35537     0.00185319       0.161503       0.160392              0
             81          DTEMP          803.6        1666.07       -1.49182         95.276     -0.0854722      0.0839007        93.1146     -0.0834695        1721.77       -1.55175       0.416558      0.0525473        -2.5235    -0.00236788        2.37353     0.00185319       0.162398       0.161258              0
             82          DTEMP          813.4        1695.49       -1.51019        96.9614     -0.0865076      0.0839272        94.7606     -0.0844933        1752.37       -1.57057       0.416536      0.0525473       -2.54671    -0.00236788        2.39169     0.00185319       0.163277       0.162109              0
             83          DTEMP          823.2        1725.27       -1.52856        98.6671     -0.0875431      0.0839533        96.4267     -0.0855172        1783.34       -1.58938       0.416515      0.0525473       -2.56991    -0.00236788        2.40985     0.00185319       0.164141       0.162945              0
             84          DTEMP            833        1755.41       -1.54693        100.393     -0.0885785       0.083979        98.1129     -0.0865411        1814.67        -1.6082       0.416494      0.0525473       -2.59312    -0.00236788        2.42801     0.00185319        0.16499       0.163766              0
             85          DTEMP          842.8        1785.91        -1.5653        102.139      -0.089614      0.0840042        99.8191      -0.087565        1846.38       -1.62701       0.416473      0.0525473       -2.61632    -0.00236788        2.44617     0.00185319       0.165825       0.164574              0
             86          DTEMP          852.6        1816.77       -1.58367        103.906     -0.0906494       0.084029        101.545     -0.0885888        1878.45       -1.64583       0.416452      0.0525473       -2.63953    -0.00236788        2.46433     0.00185319       0.166645       0.165367              0
             87          DTEMP          862.4        1847.99       -1.60204        105.693     -0.0916849      0.0840534        103.292     -0.0896127        1910.89       -1.66464       0.416432      0.0525473       -2.66273    -0.00236788        2.48249     0.00185319       0.167452       0.166147              0
             88          DTEMP          872.2        1879.57       -1.62042          107.5     -0.0927203      0.0840775        105.058     -0.0906366        1943.71       -1.68346       0.416412      0.0525473       -2.68594    -0.00236788        2.50066     0.00185319       0.168245       0.166914              0
             89          DTEMP            882        1911.51       -1.63879        109.327     -0.0937558      0.0841011        106.845     -0.0916605        1976.89       -1.70227       0.416392      0.0525473       -2.70915    -0.00236788        2.51882     0.00185319       0.169024       0.167668              0
             90          DTEMP          891.8        1943.81       -1.65716        111.175     -0.0947912      0.0841243        108.651     -0.0926844        2010.43       -1.72109       0.416373      0.0525473       -2.73235    -0.00236788        2.53698     0.00185319       0.169791       0.168409              0
             91          DTEMP          901.6        1976.47       -1.67553        113.043     -0.0958267      0.0841471        110.478     -0.0937082        2044.35        -1.7399       0.416354      0.0525473       -2.75556    -0.00236788        2.55514     0.00185319       0.170545       0.169138              0
             92          DTEMP          911.4        2009.49        -1.6939        114.932     -0.0968621      0.0841696        112.325     -0.0947321        2078.64       -1.75872       0.416335      0.0525473       -2.77876    -0.00236788         2.5733     0.00185319       0.171286       0.169855              0
             93          DTEMP          921.2        2042.87       -1.71227         116.84     -0.0978976      0.0841917        114.191      -0.095756        2113.29       -1.77753       0.416316      0.0525473       -2.80197    -0.00236788        2.59146     0.00185319       0.172016        0.17056              0
             94          DTEMP            931        2076.61       -1.73064        118.769      -0.098933      0.0842134        116.078     -0.0967799        2148.32       -1.79635       0.416298      0.0525473       -2.82517    -0.00236788        2.60962     0.00185319       0.172733       0.171253              0
             95          DTEMP          940.8        2110.71       -1.74901        120.718     -0.0999685      0.0842348        117.985     -0.0978038        2183.71       -1.81516        0.41628      0.0525473       -2.84838    -0.00236788        2.62779     0.00185319       0.173439       0.171936              0
             96          DTEMP          950.6        2145.17       -1.76738        122.688      -0.101004      0.0842558        119.912     -0.0988276        2219.47       -1.83398       0.416262      0.0525473       -2.87158    -0.00236788        2.64595     0.00185319       0.174133       0.172607              0
             97          DTEMP          960.4        2179.99       -1.78575        124.678      -0.102039      0.0842765        121.859     -0.0998515         2255.6       -1.85279       0.416245      0.0525473       -2.89479    -0.00236788        2.66411     0.00185319       0.174817       0.173267              0
             98          DTEMP          970.2        2215.17       -1.80413        126.688      -0.103075      0.0842968        123.826      -0.100875         2292.1       -1.87161       0.416227      0.0525473       -2.91799    -0.00236788        2.68227     0.00185319       0.175489       0.173917              0
             99          DTEMP            980        2250.71        -1.8225        128.718       -0.10411      0.0843169        125.814      -0.101899        2328.97       -1.89042        0.41621      0.0525473        -2.9412    -0.00236788        2.70043     0.00185319       0.176151       0.174557              0
            100      G6_DHX_E1            980        2250.71        -1.8225        128.718       -0.10411      0.0843169        125.814      -0.101899        2328.97       -1.89042        0.41621      0.0525473        -2.9412    -0.00236788        2.70043     0.00185319       0.176151       0.174557              0
            101         DXPM06        1350.02        3854.95       -2.51251        220.231      -0.143206      0.0848823        215.464      -0.140356        3990.83       -2.60082       0.415714      0.0525473      -0.327927      0.0164924        3.38615     0.00185319       0.195137       0.192899   -0.000219314
            102       ERDXPM06        1350.02        3854.95       -2.51622        220.231      -0.142994      0.0848823        215.464      -0.140563        3990.83       -2.59698       0.415714      0.0525473      -0.327927      0.0164921        3.38615     0.00184994       0.195137       0.192899   -0.000219314
            103      G6_DHX_E2        1350.02        3854.95       -2.51424        220.231      -0.143107      0.0848823        215.464      -0.140452        3990.83       -2.59903       0.415714      0.0525473      -0.327927      0.0164923        3.38615     0.00185167       0.195137       0.192899   -0.000219314
            104        DRIFT_2        1437.61        4309.74       -2.67826        246.109       -0.15235      0.0849763        240.868      -0.149594        4460.82       -2.76698       0.415629      0.0525473        1.11657      0.0164923        3.54833     0.00185167       0.198378        0.19603   -0.000219314
            105        DRIFT_2        1525.19        4793.27       -2.84228        273.606      -0.161593      0.0850593        267.873      -0.158735        4960.22       -2.93493       0.415553      0.0525473        2.56106      0.0164923        3.71051     0.00185167       0.201284       0.198837   -0.000219314
